                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.73713,                0.70431,                 1.2036,                0.87097,                 0.8528,                0.89848,                0.68771,                0.88031,                0.68312,                 1.2756,             0.00047713,             0.00047713,             0.00047713
                     36,                0.72868,                0.70021,                 1.2046,                 0.8683,                0.84959,                0.90704,                 0.6951,                0.87301,                0.67334,                 1.2719,             0.00044822,             0.00044822,             0.00044822
                     37,                0.72568,                 0.6957,                 1.1978,                 0.8827,                0.84407,                0.91028,                0.69661,                 0.8751,                0.66922,                 1.2669,             0.00041931,             0.00041931,             0.00041931
                     38,                0.72428,                0.68361,                 1.1937,                0.87357,                0.84905,                0.90026,                0.68894,                0.87158,                0.67048,                  1.266,              0.0003904,              0.0003904,              0.0003904
                     39,                0.71871,                0.66606,                 1.1896,                0.87485,                0.86606,                0.90959,                0.69695,                0.86551,                0.65965,                 1.2681,              0.0003615,              0.0003615,              0.0003615
                     40,                0.71319,                0.66355,                 1.1911,                0.86851,                0.86099,                0.90886,                0.70179,                0.86477,                0.65993,                  1.265,             0.00033259,             0.00033259,             0.00033259
                     41,                0.63293,                0.42287,                 1.1789,                0.88755,                 0.8506,                0.90842,                0.69402,                0.86752,                0.66429,                 1.2764,             0.00030368,             0.00030368,             0.00030368
                     42,                0.61142,                0.39841,                 1.1606,                0.87162,                0.86052,                0.90612,                 0.6999,                0.86178,                0.66502,                 1.2697,             0.00027477,             0.00027477,             0.00027477
                     43,                0.60199,                0.38278,                 1.1546,                 0.8747,                0.86102,                0.91037,                0.70638,                0.85319,                0.65368,                 1.2614,             0.00024586,             0.00024586,             0.00024586
                     44,                0.58671,                0.37574,                 1.1382,                0.87283,                 0.8517,                0.90305,                0.70114,                0.86204,                0.66055,                 1.2722,             0.00021696,             0.00021696,             0.00021696
                     45,                0.58199,                 0.3684,                 1.1395,                0.88646,                 0.8418,                0.90503,                 0.7067,                0.85985,                0.65279,                 1.2777,             0.00018805,             0.00018805,             0.00018805
                     46,                0.56719,                0.35598,                 1.1244,                0.87909,                0.85618,                0.90851,                0.70978,                0.85578,                0.65437,                 1.2742,             0.00015914,             0.00015914,             0.00015914
                     47,                0.56572,                0.35741,                 1.1269,                0.89921,                0.83701,                0.90741,                0.70836,                0.85829,                0.65555,                 1.2771,             0.00013023,             0.00013023,             0.00013023
                     48,                0.55653,                0.35128,                 1.1186,                0.88496,                0.84083,                0.90616,                0.70905,                0.84997,                 0.6644,                 1.2694,             0.00010132,             0.00010132,             0.00010132
                     49,                0.55348,                0.34568,                 1.1125,                0.88547,                0.85301,                0.91127,                0.71076,                0.85186,                0.65857,                 1.2699,             7.2416e-05,             7.2416e-05,             7.2416e-05
                     50,                0.54949,                0.34608,                 1.1079,                 0.8811,                0.84303,                0.91066,                0.71052,                0.85205,                0.65468,                 1.2702,             4.3508e-05,             4.3508e-05,             4.3508e-05
